frame,student_id,emotion,emotion_duration
31,24,neutral,0.7600000000000001
31,25,neutral,0.32
32,1,not frontal,0.7600000000000001
32,2,not frontal,1.1200000000000003
32,3,not frontal,1.0000000000000002
32,4,not frontal,0.6
32,5,not frontal,0.9200000000000003
32,6,sad,0.8400000000000002
32,7,fear,0.8800000000000002
32,8,sad,0.8800000000000002
32,9,neutral,0.4799999999999999
32,10,not frontal,0.8800000000000002
32,11,fear,0.04
32,12,neutral,0.8400000000000002
32,13,not frontal,0.12
32,14,sad,0.36
32,15,neutral,0.68
32,16,neutral,0.32
32,17,fear,0.64
32,18,not frontal,0.8400000000000002
32,19,fear,0.5199999999999999
32,20,neutral,0.28
32,21,happy,0.04
32,22,neutral,0.8000000000000002
32,23,sad,0.7200000000000001
32,24,neutral,0.8000000000000002
32,25,neutral,0.36
33,1,not frontal,0.8000000000000002
33,2,not frontal,1.1600000000000004
33,3,not frontal,1.0400000000000003
33,4,not frontal,0.64
33,5,not frontal,0.9600000000000003
33,6,sad,0.8800000000000002
33,7,fear,0.9200000000000003
33,8,sad,0.9200000000000003
33,9,not frontal,0.43999999999999995
33,10,not frontal,0.9200000000000003
33,11,neutral,0.32
33,12,neutral,0.8800000000000002
33,13,not frontal,0.16
33,14,happy,0.2
33,15,neutral,0.7200000000000001
33,16,neutral,0.36
33,17,fear,0.68
33,18,not frontal,0.8800000000000002
33,19,fear,0.5599999999999999
33,20,neutral,0.32
33,21,sad,0.8000000000000002
33,22,neutral,0.8400000000000002
33,23,sad,0.7600000000000001
33,24,neutral,0.8400000000000002
33,25,neutral,0.39999999999999997
34,1,not frontal,0.8400000000000002
34,2,not frontal,1.2000000000000004
34,3,not frontal,1.0800000000000003
34,4,not frontal,0.68
34,5,not frontal,1.0000000000000002
34,6,sad,0.9200000000000003
34,7,fear,0.9600000000000003
34,8,sad,0.9600000000000003
34,9,not frontal,0.4799999999999999
34,10,not frontal,0.9600000000000003
34,11,neutral,0.36
34,12,neutral,0.9200000000000003
34,13,angry,0.7600000000000001
34,14,not frontal,0.36
34,15,neutral,0.7600000000000001
34,16,neutral,0.39999999999999997
34,17,fear,0.7200000000000001
34,18,not frontal,0.9200000000000003
34,19,fear,0.6
34,20,neutral,0.36
34,21,sad,0.8400000000000002
34,22,neutral,0.8800000000000002
34,23,sad,0.8000000000000002
34,24,neutral,0.8800000000000002
34,25,neutral,0.43999999999999995
35,1,not frontal,0.8800000000000002
35,2,not frontal,1.2400000000000004
35,3,not frontal,1.1200000000000003
35,4,neutral,0.04
35,5,not frontal,1.0400000000000003
35,6,sad,0.9600000000000003
35,7,fear,1.0000000000000002
35,8,sad,1.0000000000000002
35,9,neutral,0.5199999999999999
35,10,not frontal,1.0000000000000002
35,11,neutral,0.39999999999999997
35,12,neutral,0.9600000000000003
35,13,sad,0.04
35,14,sad,0.39999999999999997
35,15,neutral,0.8000000000000002
35,16,neutral,0.43999999999999995
35,17,fear,0.7600000000000001
35,18,not frontal,0.9600000000000003
35,19,sad,0.28
35,20,neutral,0.39999999999999997
35,21,sad,0.8800000000000002
35,22,neutral,0.9200000000000003
35,23,sad,0.8400000000000002
35,24,neutral,0.9200000000000003
35,25,neutral,0.4799999999999999
36,1,not frontal,0.9200000000000003
36,2,not frontal,1.2800000000000005
36,3,not frontal,1.1600000000000004
36,4,neutral,0.08
36,5,not frontal,1.0800000000000003
36,6,sad,1.0000000000000002
36,7,fear,1.0400000000000003
36,8,sad,1.0400000000000003
36,9,neutral,0.5599999999999999
36,10,not frontal,1.0400000000000003
36,11,neutral,0.43999999999999995
36,12,neutral,1.0000000000000002
36,13,angry,0.8000000000000002
36,14,sad,0.43999999999999995
36,15,neutral,0.8400000000000002
36,16,neutral,0.4799999999999999
36,17,fear,0.8000000000000002
36,18,not frontal,1.0000000000000002
36,19,sad,0.32
36,20,neutral,0.43999999999999995
36,21,sad,0.9200000000000003
36,22,neutral,0.9600000000000003
36,23,sad,0.8800000000000002
36,24,neutral,0.9600000000000003
36,25,happy,0.04
37,1,not frontal,0.9600000000000003
37,2,not frontal,1.3200000000000005
37,3,not frontal,1.2000000000000004
37,4,not frontal,0.7200000000000001
37,5,not frontal,1.1200000000000003
37,6,fear,0.04
37,7,fear,1.0800000000000003
37,8,sad,1.0800000000000003
37,9,neutral,0.6
37,10,not frontal,1.0800000000000003
37,11,neutral,0.4799999999999999
37,12,neutral,1.0400000000000003
37,13,sad,0.08
37,14,sad,0.4799999999999999
37,15,neutral,0.8800000000000002
37,16,neutral,0.5199999999999999
37,17,fear,0.8400000000000002
37,18,not frontal,1.0400000000000003
37,19,sad,0.36
37,20,neutral,0.4799999999999999
37,21,sad,0.9600000000000003
37,22,neutral,1.0000000000000002
37,23,sad,0.9200000000000003
37,24,neutral,1.0000000000000002
37,25,neutral,0.5199999999999999
38,1,fear,0.04
38,2,not frontal,1.3600000000000005
38,3,not frontal,1.2400000000000004
38,4,fear,0.32
38,5,not frontal,1.1600000000000004
38,6,fear,0.08
38,7,fear,1.1200000000000003
38,8,sad,1.1200000000000003
38,9,neutral,0.64
38,10,not frontal,1.1200000000000003
38,11,happy,0.12
38,12,neutral,1.0800000000000003
38,13,sad,0.12
38,14,not frontal,0.39999999999999997
38,15,neutral,0.9200000000000003
38,16,neutral,0.5599999999999999
38,17,fear,0.8800000000000002
38,18,not frontal,1.0800000000000003
38,19,sad,0.39999999999999997
38,20,not frontal,0.5599999999999999
38,21,sad,1.0000000000000002
38,22,neutral,1.0400000000000003
38,23,sad,0.9600000000000003
38,24,neutral,1.0400000000000003
38,25,neutral,0.5599999999999999
39,1,not frontal,1.0000000000000002
39,2,not frontal,1.4000000000000006
39,3,not frontal,1.2800000000000005
39,4,not frontal,0.7600000000000001
39,5,not frontal,1.2000000000000004
39,6,sad,1.0400000000000003
39,7,fear,1.1600000000000004
39,8,sad,1.1600000000000004
39,9,neutral,0.68
39,10,not frontal,1.1600000000000004
39,11,neutral,0.5199999999999999
39,12,neutral,1.1200000000000003
39,13,not frontal,0.2
39,14,sad,0.5199999999999999
39,15,neutral,0.9600000000000003
39,16,neutral,0.6
39,17,angry,0.04
39,18,not frontal,1.1200000000000003
39,19,sad,0.43999999999999995
39,20,not frontal,0.6
39,21,sad,1.0400000000000003
39,22,neutral,1.0800000000000003
39,23,sad,1.0000000000000002
39,24,neutral,1.0800000000000003
39,25,neutral,0.6
40,1,happy,0.32
40,2,not frontal,1.4400000000000006
40,3,not frontal,1.3200000000000005
40,4,neutral,0.12
40,5,not frontal,1.2400000000000004
40,6,sad,1.0800000000000003
40,7,fear,1.2000000000000004
40,8,sad,1.2000000000000004
40,9,neutral,0.7200000000000001
40,10,not frontal,1.2000000000000004
40,11,neutral,0.5599999999999999
40,12,neutral,1.1600000000000004
40,13,not frontal,0.24000000000000002
40,14,sad,0.5599999999999999
40,15,neutral,1.0000000000000002
40,16,neutral,0.64
40,17,angry,0.08
40,18,not frontal,1.1600000000000004
40,19,sad,0.4799999999999999
40,20,not frontal,0.64
40,21,sad,1.0800000000000003
40,22,neutral,1.1200000000000003
40,23,sad,1.0400000000000003
40,24,neutral,1.1200000000000003
40,25,neutral,0.64
41,1,happy,0.36
41,2,not frontal,1.4800000000000006
41,3,fear,0.04
41,4,neutral,0.16
41,5,not frontal,1.2800000000000005
41,6,sad,1.1200000000000003
41,7,fear,1.2400000000000004
41,8,sad,1.2400000000000004
41,9,neutral,0.7600000000000001
41,10,not frontal,1.2400000000000004
41,11,neutral,0.6
41,12,neutral,1.2000000000000004
41,13,not frontal,0.28
41,14,sad,0.6
41,15,neutral,1.0400000000000003
41,16,neutral,0.68
41,17,fear,0.9200000000000003
41,18,not frontal,1.2000000000000004
41,19,sad,0.5199999999999999
41,20,not frontal,0.68
41,21,happy,0.08
41,22,neutral,1.1600000000000004
41,23,sad,1.0800000000000003
41,24,neutral,1.1600000000000004
41,25,neutral,0.68
41,23,sad,1.1200000000000003
42,1,not frontal,1.0400000000000003
42,2,not frontal,1.5200000000000007
42,3,sad,0.04
42,4,neutral,0.2
42,5,not frontal,1.3200000000000005
42,6,sad,1.1600000000000004
42,7,fear,1.2800000000000005
42,8,sad,1.2800000000000005
42,9,neutral,0.8000000000000002
42,10,not frontal,1.2800000000000005
42,11,neutral,0.64
42,12,neutral,1.2400000000000004
42,13,not frontal,0.32
42,14,not frontal,0.43999999999999995
42,15,neutral,1.0800000000000003
42,16,neutral,0.7200000000000001
42,17,fear,0.9600000000000003
42,18,not frontal,1.2400000000000004
42,19,sad,0.5599999999999999
42,20,not frontal,0.7200000000000001
42,21,happy,0.12
42,22,neutral,1.2000000000000004
42,23,sad,1.1600000000000004
42,24,neutral,1.2000000000000004
42,25,neutral,0.7200000000000001
42,23,fear,0.04
43,1,not frontal,1.0800000000000003
43,2,not frontal,1.5600000000000007
43,3,fear,0.08
43,4,neutral,0.24000000000000002
43,5,not frontal,1.3600000000000005
43,6,sad,1.2000000000000004
43,7,fear,1.3200000000000005
43,8,sad,1.3200000000000005
43,9,neutral,0.8400000000000002
43,10,not frontal,1.3200000000000005
43,11,surprise,0.08
43,12,neutral,1.2800000000000005
43,13,not frontal,0.36
43,14,not frontal,0.4799999999999999
43,15,neutral,1.1200000000000003
43,16,sad,0.36
43,17,fear,1.0000000000000002
43,18,not frontal,1.2800000000000005
43,19,sad,0.6
43,20,not frontal,0.7600000000000001
43,21,happy,0.16
43,22,neutral,1.2400000000000004
43,23,sad,1.2000000000000004
43,24,neutral,1.2400000000000004
43,25,neutral,0.7600000000000001
43,23,fear,0.08
44,1,angry,0.08
44,2,not frontal,1.6000000000000008
44,3,not frontal,1.3600000000000005
44,4,neutral,0.28
44,5,not frontal,1.4000000000000006
44,6,sad,1.2400000000000004
44,7,fear,1.3600000000000005
44,8,sad,1.3600000000000005
44,9,not frontal,0.5199999999999999
44,10,not frontal,1.3600000000000005
44,11,neutral,0.68
44,12,neutral,1.3200000000000005
44,13,sad,0.16
44,14,not frontal,0.5199999999999999
44,15,neutral,1.1600000000000004
44,16,neutral,0.7600000000000001
44,17,fear,1.0400000000000003
44,18,not frontal,1.3200000000000005
44,19,sad,0.64
44,20,not frontal,0.8000000000000002
44,21,happy,0.2
44,22,neutral,1.2800000000000005
44,23,sad,1.2400000000000004
44,24,neutral,1.2800000000000005
44,25,neutral,0.8000000000000002
44,23,fear,0.12
45,1,happy,0.39999999999999997
45,2,not frontal,1.6400000000000008
45,3,not frontal,1.4000000000000006
45,4,neutral,0.32
45,5,not frontal,1.4400000000000006
45,6,sad,1.2800000000000005
45,7,fear,1.4000000000000006
45,8,sad,1.4000000000000006
45,9,neutral,0.8800000000000002
45,10,not frontal,1.4000000000000006
45,11,neutral,0.7200000000000001
45,12,neutral,1.3600000000000005
45,13,angry,0.8400000000000002
45,14,not frontal,0.5599999999999999
45,15,neutral,1.2000000000000004
45,16,neutral,0.8000000000000002
45,17,not frontal,0.04
45,18,not frontal,1.3600000000000005
45,19,sad,0.68
45,20,not frontal,0.8400000000000002
45,21,happy,0.24000000000000002
45,22,neutral,1.3200000000000005
45,23,sad,1.2800000000000005
45,24,neutral,1.3200000000000005
45,25,neutral,0.8400000000000002
45,23,sad,1.3200000000000005
46,1,not frontal,1.1200000000000003
46,2,not frontal,1.6800000000000008
46,3,sad,0.08
46,4,neutral,0.36
46,5,not frontal,1.4800000000000006
46,6,sad,1.3200000000000005
46,7,fear,1.4400000000000006
46,8,sad,1.4400000000000006
46,9,neutral,0.9200000000000003
46,10,not frontal,1.4400000000000006
46,11,neutral,0.7600000000000001
46,12,neutral,1.4000000000000006
46,13,angry,0.8800000000000002
46,14,not frontal,0.6
46,15,neutral,1.2400000000000004
46,16,neutral,0.8400000000000002
46,17,not frontal,0.08
46,18,not frontal,1.4000000000000006
46,19,sad,0.7200000000000001
46,20,not frontal,0.8800000000000002
46,21,happy,0.28
46,22,neutral,1.3600000000000005
46,23,sad,1.3600000000000005
46,24,neutral,1.3600000000000005
46,25,neutral,0.8800000000000002
46,23,sad,1.4000000000000006
47,1,surprise,0.08
47,2,not frontal,1.7200000000000009
47,3,sad,0.12
47,4,neutral,0.39999999999999997
47,5,not frontal,1.5200000000000007
47,6,neutral,0.08
47,7,fear,1.4800000000000006
47,8,sad,1.4800000000000006
47,9,neutral,0.9600000000000003
47,10,not frontal,1.4800000000000006
47,11,neutral,0.8000000000000002
47,12,neutral,1.4400000000000006
47,13,angry,0.9200000000000003
47,14,not frontal,0.64
47,15,neutral,1.2800000000000005
47,16,sad,0.39999999999999997
47,17,angry,0.12
47,18,not frontal,1.4400000000000006
47,19,sad,0.7600000000000001
47,20,not frontal,0.9200000000000003
47,21,happy,0.32
47,22,neutral,1.4000000000000006
47,23,sad,1.4400000000000006
47,24,neutral,1.4000000000000006
47,25,neutral,0.9200000000000003
47,23,sad,1.4800000000000006
48,1,surprise,0.12
48,2,not frontal,1.760000000000001
48,3,sad,0.16
48,4,neutral,0.43999999999999995
48,5,not frontal,1.5600000000000007
48,6,neutral,0.12
48,7,fear,1.5200000000000007
48,8,sad,1.5200000000000007
48,9,neutral,1.0000000000000002
48,10,not frontal,1.5200000000000007
48,11,neutral,0.8400000000000002
48,12,neutral,1.4800000000000006
48,13,sad,0.2
48,14,not frontal,0.68
48,15,neutral,1.3200000000000005
48,16,neutral,0.8800000000000002
48,17,angry,0.16
48,18,not frontal,1.4800000000000006
48,19,sad,0.8000000000000002
48,20,not frontal,0.9600000000000003
48,21,happy,0.36
48,22,neutral,1.4400000000000006
